"comparison","Category","Subcategory","Enrichment","Q_value","Observed","miRNAs_with_rank"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","positive regulation of protein phosphorylation","enriched",0.001811,42,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-708-5p (#5, logFC=0.785); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-19b-3p (#15, logFC=0.662); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-15a-5p (#21, logFC=0.601); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-100-5p (#111, logFC=-0.098); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-15b-5p (#170, logFC=-0.770)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","protein localization to mitochondrion","enriched",0.001811,16,"hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-378a-3p (#16, logFC=0.645); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-125b-5p (#136, logFC=-0.285)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","regulation of cell migration","enriched",0.001811,42,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-30a-5p (#12, logFC=0.714); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-451a (#39, logFC=0.639); hsa-miR-26b-5p (#41, logFC=0.332); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-487b-3p (#75, logFC=0.152); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-148b-3p (#150, logFC=-0.497); hsa-miR-181a-5p (#155, logFC=-0.542); hsa-miR-23b-3p (#169, logFC=-0.643)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","regulation of cellular component movement","enriched",0.001811,42,"hsa-miR-27a-3p (#2, logFC=1.132); hsa-miR-146a-5p (#3, logFC=1.515); hsa-miR-29c-3p (#4, logFC=1.133); hsa-miR-218-5p (#6, logFC=1.329); hsa-miR-376c-3p (#8, logFC=0.963); hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-29a-3p (#14, logFC=0.602); hsa-miR-143-3p (#17, logFC=0.669); hsa-miR-221-3p (#18, logFC=0.560); hsa-miR-124-3p (#22, logFC=1.023); hsa-miR-204-5p (#24, logFC=0.728); hsa-miR-29b-3p (#26, logFC=0.553); hsa-miR-126-3p (#27, logFC=0.516); hsa-miR-223-3p (#34, logFC=0.538); hsa-miR-101-3p (#36, logFC=0.497); hsa-miR-222-3p (#38, logFC=0.404); hsa-miR-451a (#39, logFC=0.639); hsa-miR-335-5p (#42, logFC=0.467); hsa-miR-34a-5p (#43, logFC=0.394); hsa-miR-495-3p (#44, logFC=0.451); hsa-miR-9-5p (#48, logFC=0.426); hsa-miR-185-5p (#55, logFC=0.241); hsa-miR-148a-3p (#58, logFC=0.305); hsa-miR-9-3p (#59, logFC=0.262); hsa-miR-145-5p (#60, logFC=0.232); hsa-miR-128-3p (#61, logFC=0.295); hsa-miR-199a-3p (#62, logFC=0.326); hsa-miR-497-5p (#68, logFC=0.198); hsa-miR-155-5p (#69, logFC=0.245); hsa-miR-195-5p (#72, logFC=0.149); hsa-miR-26a-5p (#77, logFC=0.090); hsa-miR-139-5p (#80, logFC=0.140); hsa-miR-135a-5p (#84, logFC=0.094); hsa-miR-138-5p (#95, logFC=-0.008); hsa-miR-21-5p (#98, logFC=-0.026); hsa-miR-125a-5p (#109, logFC=-0.074); hsa-miR-30a-3p (#112, logFC=-0.134); hsa-miR-152-3p (#114, logFC=-0.164); hsa-miR-23a-3p (#125, logFC=-0.228); hsa-miR-182-5p (#130, logFC=-0.432); hsa-miR-132-3p (#133, logFC=-0.344); hsa-miR-181a-5p (#155, logFC=-0.542)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","nucleobase-containing small molecule interconversion","depleted",0.0210648,5,"hsa-miR-34a-5p (#43, logFC=0.394); hsa-let-7a-5p (#173, logFC=-0.884); hsa-let-7b-5p (#176, logFC=-1.039); hsa-let-7e-5p (#178, logFC=-0.985); hsa-let-7c-5p (#179, logFC=-1.416)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","protein targeting to ER","depleted",0.0242185,20,"hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-423-3p (#108, logFC=-0.060); hsa-miR-324-3p (#110, logFC=-0.072); hsa-miR-100-5p (#111, logFC=-0.098); hsa-miR-331-3p (#121, logFC=-0.189); hsa-miR-25-3p (#126, logFC=-0.244); hsa-miR-652-3p (#127, logFC=-0.238); hsa-miR-99a-5p (#134, logFC=-0.326); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-1180-3p (#138, logFC=-0.408); hsa-miR-484 (#144, logFC=-0.366); hsa-miR-1260b (#146, logFC=-0.528); hsa-miR-423-5p (#147, logFC=-0.551); hsa-miR-92b-3p (#166, logFC=-0.732); hsa-miR-92a-3p (#167, logFC=-0.624); hsa-miR-15b-5p (#170, logFC=-0.770); hsa-let-7a-5p (#173, logFC=-0.884)"
"EDAD_gt70_vs_40_60","GO Biological process (miRPathDB)","SRP-dependent cotranslational protein targeting to membrane","depleted",0.037086,19,"hsa-miR-22-3p (#13, logFC=0.671); hsa-miR-186-5p (#25, logFC=0.623); hsa-miR-16-5p (#52, logFC=0.316); hsa-miR-744-5p (#76, logFC=0.124); hsa-miR-423-3p (#108, logFC=-0.060); hsa-miR-324-3p (#110, logFC=-0.072); hsa-miR-100-5p (#111, logFC=-0.098); hsa-miR-331-3p (#121, logFC=-0.189); hsa-miR-25-3p (#126, logFC=-0.244); hsa-miR-652-3p (#127, logFC=-0.238); hsa-miR-99a-5p (#134, logFC=-0.326); hsa-miR-125b-5p (#136, logFC=-0.285); hsa-miR-1180-3p (#138, logFC=-0.408); hsa-miR-484 (#144, logFC=-0.366); hsa-miR-1260b (#146, logFC=-0.528); hsa-miR-423-5p (#147, logFC=-0.551); hsa-miR-92b-3p (#166, logFC=-0.732); hsa-miR-92a-3p (#167, logFC=-0.624); hsa-let-7a-5p (#173, logFC=-0.884)"
"EDAD_cont_10y","KEGG (miRPathDB)","Small cell lung cancer","enriched",0.000206080421555556,52,"hsa-miR-424-5p (#3, logFC=0.575); hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-22-3p (#21, logFC=0.204); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-144-5p (#27, logFC=0.291); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-15a-5p (#38, logFC=0.126); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-23a-3p (#40, logFC=0.099); hsa-miR-135a-5p (#46, logFC=0.175); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-486-5p (#58, logFC=0.130); hsa-miR-193b-3p (#61, logFC=0.084); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-378a-3p (#75, logFC=0.061); hsa-miR-153-3p (#76, logFC=0.110); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-16-5p (#86, logFC=0.048); hsa-miR-26b-5p (#87, logFC=0.030); hsa-miR-152-3p (#89, logFC=0.034); hsa-miR-199a-3p (#95, logFC=0.042); hsa-miR-98-5p (#116, logFC=-0.003); hsa-miR-28-3p (#121, logFC=-0.008); hsa-miR-26a-5p (#131, logFC=-0.040); hsa-miR-425-5p (#132, logFC=-0.025); hsa-miR-101-3p (#136, logFC=-0.034); hsa-miR-574-3p (#172, logFC=-0.099); hsa-miR-195-5p (#174, logFC=-0.084); hsa-miR-20b-5p (#181, logFC=-0.138); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-497-5p (#194, logFC=-0.125); hsa-miR-10b-5p (#214, logFC=-0.335); hsa-miR-15b-5p (#219, logFC=-0.202); hsa-miR-124-3p (#223, logFC=-0.334); hsa-miR-151a-5p (#235, logFC=-0.189); hsa-miR-23b-3p (#246, logFC=-0.209); hsa-miR-20a-5p (#255, logFC=-0.676); hsa-miR-17-5p (#257, logFC=-0.745)"
"EDAD_cont_10y","KEGG (miRPathDB)","Tuberculosis","enriched",0.000440035288,19,"hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-135a-5p (#46, logFC=0.175); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-185-5p (#74, logFC=0.069); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-574-3p (#172, logFC=-0.099); hsa-miR-204-5p (#186, logFC=-0.147); hsa-miR-125a-5p (#193, logFC=-0.099)"
"EDAD_cont_10y","KEGG (miRPathDB)","PI3K-Akt signaling pathway","enriched",0.000487418498518518,60,"hsa-miR-27a-3p (#2, logFC=0.304); hsa-miR-424-5p (#3, logFC=0.575); hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-30a-5p (#16, logFC=0.230); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-22-3p (#21, logFC=0.204); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-144-5p (#27, logFC=0.291); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-15a-5p (#38, logFC=0.126); hsa-miR-23a-3p (#40, logFC=0.099); hsa-miR-135a-5p (#46, logFC=0.175); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-185-5p (#74, logFC=0.069); hsa-miR-378a-3p (#75, logFC=0.061); hsa-miR-153-3p (#76, logFC=0.110); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-433-3p (#84, logFC=0.078); hsa-miR-16-5p (#86, logFC=0.048); hsa-miR-152-3p (#89, logFC=0.034); hsa-miR-125b-1-3p (#91, logFC=0.038); hsa-miR-199a-3p (#95, logFC=0.042); hsa-miR-365a-3p (#99, logFC=0.018); hsa-miR-182-5p (#100, logFC=0.076); hsa-miR-30a-3p (#101, logFC=0.015); hsa-miR-145-5p (#105, logFC=0.012); hsa-miR-98-5p (#116, logFC=-0.003); hsa-miR-26a-5p (#131, logFC=-0.040); hsa-miR-425-5p (#132, logFC=-0.025); hsa-miR-101-3p (#136, logFC=-0.034); hsa-let-7g-5p (#161, logFC=-0.056); hsa-miR-95-3p (#169, logFC=-0.097); hsa-miR-218-5p (#171, logFC=-0.125); hsa-miR-574-3p (#172, logFC=-0.099); hsa-miR-195-5p (#174, logFC=-0.084); hsa-miR-30e-3p (#190, logFC=-0.107); hsa-miR-107 (#191, logFC=-0.124); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-497-5p (#194, logFC=-0.125); hsa-miR-487b-3p (#204, logFC=-0.187); hsa-miR-15b-5p (#219, logFC=-0.202); hsa-miR-124-3p (#223, logFC=-0.334); hsa-let-7c-5p (#229, logFC=-0.255); hsa-miR-181a-5p (#247, logFC=-0.213); hsa-let-7a-5p (#251, logFC=-0.269); hsa-miR-17-5p (#257, logFC=-0.745)"
"EDAD_cont_10y","KEGG (miRPathDB)","Pertussis","enriched",0.000487418498518518,11,"hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-139-5p (#81, logFC=0.098)"
"EDAD_cont_10y","KEGG (miRPathDB)","Toxoplasmosis","enriched",0.000487418498518518,29,"hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-30a-5p (#16, logFC=0.230); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-15a-5p (#38, logFC=0.126); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-132-3p (#118, logFC=-0.004); hsa-miR-30d-5p (#134, logFC=-0.021); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-497-5p (#194, logFC=-0.125); hsa-miR-15b-5p (#219, logFC=-0.202); hsa-miR-124-3p (#223, logFC=-0.334); hsa-miR-181a-5p (#247, logFC=-0.213); hsa-miR-17-5p (#257, logFC=-0.745)"
"EDAD_cont_10y","KEGG (miRPathDB)","Toll-like receptor signaling pathway","enriched",0.000649498892777778,20,"hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-365a-3p (#99, logFC=0.018); hsa-miR-145-5p (#105, logFC=0.012); hsa-miR-887-3p (#168, logFC=-0.092); hsa-miR-125a-5p (#193, logFC=-0.099)"
"EDAD_cont_10y","KEGG (miRPathDB)","Focal adhesion","enriched",0.0007997986535,49,"hsa-miR-424-5p (#3, logFC=0.575); hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-30a-5p (#16, logFC=0.230); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-144-5p (#27, logFC=0.291); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-15a-5p (#38, logFC=0.126); hsa-miR-135a-5p (#46, logFC=0.175); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-486-5p (#58, logFC=0.130); hsa-miR-193b-3p (#61, logFC=0.084); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-185-5p (#74, logFC=0.069); hsa-miR-378a-3p (#75, logFC=0.061); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-16-5p (#86, logFC=0.048); hsa-miR-152-3p (#89, logFC=0.034); hsa-miR-125b-1-3p (#91, logFC=0.038); hsa-miR-376c-3p (#93, logFC=0.031); hsa-miR-199a-3p (#95, logFC=0.042); hsa-miR-365a-3p (#99, logFC=0.018); hsa-miR-182-5p (#100, logFC=0.076); hsa-miR-145-5p (#105, logFC=0.012); hsa-miR-744-5p (#130, logFC=-0.027); hsa-miR-101-3p (#136, logFC=-0.034); hsa-miR-218-5p (#171, logFC=-0.125); hsa-miR-574-3p (#172, logFC=-0.099); hsa-miR-195-5p (#174, logFC=-0.084); hsa-miR-330-5p (#177, logFC=-0.162); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-497-5p (#194, logFC=-0.125); hsa-miR-194-5p (#197, logFC=-0.142); hsa-miR-27b-3p (#202, logFC=-0.126); hsa-miR-15b-5p (#219, logFC=-0.202); hsa-miR-124-3p (#223, logFC=-0.334); hsa-let-7c-5p (#229, logFC=-0.255); hsa-miR-885-5p (#238, logFC=-0.314); hsa-miR-23b-3p (#246, logFC=-0.209)"
"EDAD_cont_10y","KEGG (miRPathDB)","TNF signaling pathway","enriched",0.0011532,29,"hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-15a-5p (#38, logFC=0.126); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-199a-3p (#95, logFC=0.042); hsa-miR-664a-3p (#97, logFC=0.028); hsa-miR-98-5p (#116, logFC=-0.003); hsa-miR-101-3p (#136, logFC=-0.034); hsa-miR-887-3p (#168, logFC=-0.092); hsa-miR-204-5p (#186, logFC=-0.147); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-128-3p (#205, logFC=-0.190); hsa-miR-124-3p (#223, logFC=-0.334)"
"EDAD_cont_10y","KEGG (miRPathDB)","Hepatitis C","enriched",0.0012573,31,"hsa-miR-27a-3p (#2, logFC=0.304); hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-30a-5p (#16, logFC=0.230); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-185-5p (#74, logFC=0.069); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-152-3p (#89, logFC=0.034); hsa-miR-365a-3p (#99, logFC=0.018); hsa-miR-145-5p (#105, logFC=0.012); hsa-miR-132-3p (#118, logFC=-0.004); hsa-miR-574-3p (#172, logFC=-0.099); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-10b-5p (#214, logFC=-0.335); hsa-miR-124-3p (#223, logFC=-0.334); hsa-let-7a-5p (#251, logFC=-0.269); hsa-miR-17-5p (#257, logFC=-0.745)"
"EDAD_cont_10y","KEGG (miRPathDB)","Chagas disease American trypanosomiasis","enriched",0.001735,27,"hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-223-3p (#18, logFC=0.205); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-708-5p (#26, logFC=0.186); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-9-3p (#39, logFC=0.158); hsa-miR-23a-3p (#40, logFC=0.099); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-486-5p (#58, logFC=0.130); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-146b-5p (#69, logFC=0.102); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-139-5p (#81, logFC=0.098); hsa-miR-145-5p (#105, logFC=0.012); hsa-miR-409-3p (#122, logFC=-0.012); hsa-miR-101-3p (#136, logFC=-0.034); hsa-miR-887-3p (#168, logFC=-0.092); hsa-miR-125a-5p (#193, logFC=-0.099); hsa-miR-219b-5p (#209, logFC=-0.286); hsa-miR-15b-5p (#219, logFC=-0.202); hsa-miR-18a-5p (#245, logFC=-0.506)"
"EDAD_cont_10y","KEGG (miRPathDB)","Tight junction","enriched",0.0024229,13,"hsa-miR-222-3p (#7, logFC=0.280); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-155-5p (#22, logFC=0.315); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-143-3p (#28, logFC=0.201); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-23a-3p (#40, logFC=0.099); hsa-miR-486-5p (#58, logFC=0.130); hsa-miR-193b-3p (#61, logFC=0.084); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-185-5p (#74, logFC=0.069); hsa-miR-652-3p (#178, logFC=-0.078); hsa-miR-487b-3p (#204, logFC=-0.187)"
"EDAD_cont_10y","KEGG (miRPathDB)","Non-alcoholic fatty liver disease NAFLD","enriched",0.0026355,18,"hsa-miR-221-3p (#4, logFC=0.305); hsa-miR-451a (#10, logFC=0.438); hsa-miR-146a-5p (#11, logFC=0.382); hsa-miR-34a-5p (#13, logFC=0.256); hsa-miR-148a-3p (#24, logFC=0.275); hsa-miR-126-3p (#25, logFC=0.213); hsa-miR-29a-3p (#33, logFC=0.144); hsa-miR-29b-3p (#51, logFC=0.113); hsa-miR-29c-3p (#62, logFC=0.102); hsa-miR-21-5p (#66, logFC=0.126); hsa-miR-196b-5p (#71, logFC=0.143); hsa-miR-7-5p (#72, logFC=0.113); hsa-miR-138-5p (#73, logFC=0.136); hsa-miR-125b-5p (#79, logFC=0.044); hsa-miR-365a-3p (#99, logFC=0.018); hsa-miR-30c-5p (#157, logFC=-0.047); hsa-miR-127-3p (#167, logFC=-0.093); hsa-miR-574-3p (#172, logFC=-0.099)"
