Category	Subcategory	Enrichment	P-value	P-adjusted	Q-value	Observed	miRNAs/precursors	database	cluster	cluster_rep	reduction_method
GO Biological process (miRPathDB)	fibroblast proliferation	depleted	0.0947061	0.259276	0.259276	40	hsa-miR-146b-5p; hsa-miR-21-5p; hsa-miR-155-5p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-452-5p; hsa-miR-429; hsa-miR-25-3p; hsa-miR-34a-5p; hsa-miR-212-3p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-130b-3p; hsa-miR-4667-5p; hsa-miR-8089; hsa-miR-663a; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-34a-3p; hsa-miR-133a-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-150-3p; hsa-miR-132-3p; hsa-miR-200c-3p; hsa-miR-26a-5p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-487b-3p; hsa-miR-24-3p; hsa-miR-34c-5p; hsa-miR-574-3p; hsa-miR-145-5p; hsa-miR-124-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	focal adhesion assembly	depleted	0.362356	0.4458734	0.4458734	27	hsa-miR-182-5p; hsa-miR-21-5p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-429; hsa-miR-148a-3p; hsa-miR-9-5p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-153-3p; hsa-miR-296-5p; hsa-miR-138-5p; hsa-miR-638; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-125a-5p; hsa-miR-200c-3p; hsa-miR-205-5p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-27a-5p; hsa-miR-31-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	forebrain development	depleted	0.0910483	0.25573	0.25573	37	hsa-miR-221-3p; hsa-miR-6872-5p; hsa-miR-155-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-9-3p; hsa-miR-9-5p; hsa-miR-1471; hsa-miR-1-3p; hsa-miR-130b-3p; hsa-miR-6836-5p; hsa-miR-6132; hsa-miR-663a; hsa-miR-138-5p; hsa-miR-144-3p; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-301b-3p; hsa-miR-320c; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-576-5p; hsa-miR-205-5p; hsa-miR-130a-3p; hsa-miR-31-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-218-5p; hsa-miR-31-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	formation of primary germ layer	depleted	0.0816408	0.2406879	0.2406879	20	hsa-miR-196b-5p; hsa-miR-4746-5p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-219a-5p; hsa-miR-29a-3p; hsa-miR-200a-5p; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-200a-3p; hsa-miR-199a-5p; hsa-miR-143-3p; hsa-miR-486-3p; hsa-miR-26a-5p; hsa-miR-101-3p; hsa-miR-145-5p; hsa-miR-2277-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gamete generation	depleted	0.0284139	0.1451713	0.1451713	15	hsa-miR-21-5p; hsa-miR-135a-5p; hsa-miR-99a-5p; hsa-miR-138-5p; hsa-miR-144-3p; hsa-miR-133b; hsa-miR-126-3p; hsa-miR-16-5p; hsa-miR-181a-5p; hsa-let-7g-3p; hsa-miR-143-3p; hsa-miR-205-5p; hsa-let-7a-2-3p; hsa-miR-214-3p; hsa-miR-101-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gastrulation	depleted	0.0024411	0.0312803	0.0312803	38	hsa-miR-196b-5p; hsa-miR-300; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-452-5p; hsa-miR-34a-5p; hsa-miR-148a-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-219a-5p; hsa-miR-29a-3p; hsa-let-7a-3p; hsa-miR-638; hsa-miR-451a; hsa-miR-892b; hsa-miR-133b; hsa-miR-186-5p; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-34a-3p; hsa-miR-200a-3p; hsa-let-7f-1-3p; hsa-miR-18a-5p; hsa-miR-491-5p; hsa-let-7b-3p; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-143-3p; hsa-miR-26a-5p; hsa-miR-205-5p; hsa-miR-98-3p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-miR-101-3p; hsa-miR-206; hsa-miR-145-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gene expression	depleted	7.80243e-09	3.10394851636364e-06	3.10394851636364e-06	207	hsa-miR-196b-5p; hsa-miR-96-5p; hsa-miR-6824-5p; hsa-miR-182-5p; hsa-let-7c-3p; hsa-miR-450b-5p; hsa-let-7f-2-3p; hsa-miR-300; hsa-miR-3191-5p; hsa-miR-21-5p; hsa-miR-1185-2-3p; hsa-miR-6797-3p; hsa-miR-10b-5p; hsa-miR-200b-5p; hsa-miR-92b-3p; hsa-miR-100-5p; hsa-miR-10a-5p; hsa-miR-125b-5p; hsa-miR-488-5p; hsa-miR-221-3p; hsa-miR-183-5p; hsa-miR-329-5p; hsa-miR-6716-3p; hsa-miR-301a-3p; hsa-miR-223-3p; hsa-miR-128-1-5p; hsa-miR-708-5p; hsa-miR-3609; hsa-miR-155-5p; hsa-miR-193b-3p; hsa-miR-548n; hsa-miR-541-5p; hsa-miR-935; hsa-miR-135a-5p; hsa-miR-222-3p; hsa-miR-548az-5p; hsa-miR-770-5p; hsa-miR-99a-5p; hsa-miR-98-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-328-5p; hsa-miR-1185-1-3p; hsa-miR-429; hsa-miR-6820-5p; hsa-miR-25-3p; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-212-3p; hsa-miR-148a-3p; hsa-miR-877-3p; hsa-miR-664a-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-181d-5p; hsa-miR-219a-5p; hsa-miR-29a-3p; hsa-miR-153-3p; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-6885-5p; hsa-miR-557; hsa-miR-1229-3p; hsa-miR-376b-3p; hsa-miR-106b-3p; hsa-let-7a-3p; hsa-miR-6733-5p; hsa-miR-200a-5p; hsa-miR-615-3p; hsa-miR-656-3p; hsa-miR-421; hsa-miR-503-5p; hsa-miR-138-5p; hsa-miR-144-3p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-181b-5p; hsa-miR-376a-3p; hsa-miR-6825-5p; hsa-miR-302a-5p; hsa-miR-649; hsa-miR-519c-3p; hsa-miR-520d-5p; hsa-miR-5007-3p; hsa-miR-519a-3p; hsa-miR-519b-3p; hsa-miR-638; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-33a-5p; hsa-miR-425-3p; hsa-miR-126-5p; hsa-miR-106a-5p; hsa-miR-339-3p; hsa-miR-425-5p; hsa-miR-32-5p; hsa-miR-363-3p; hsa-miR-1180-3p; hsa-miR-505-3p; hsa-miR-324-5p; hsa-miR-133b; hsa-miR-196a-5p; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-106b-5p; hsa-miR-146a-5p; hsa-miR-1277-5p; hsa-miR-505-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-484; hsa-miR-1179; hsa-miR-449a; hsa-let-7c-5p; hsa-miR-23a-3p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-let-7f-1-3p; hsa-miR-92a-3p; hsa-miR-497-5p; hsa-miR-224-5p; hsa-miR-1246; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-19b-3p; hsa-miR-301b-3p; hsa-miR-320b; hsa-miR-181a-5p; hsa-miR-410-3p; hsa-miR-27b-3p; hsa-miR-103a-3p; hsa-miR-378a-3p; hsa-miR-877-5p; hsa-miR-140-5p; hsa-miR-320c; hsa-miR-1181; hsa-miR-491-5p; hsa-let-7b-3p; hsa-miR-543; hsa-miR-2110; hsa-miR-139-5p; hsa-miR-92a-1-5p; hsa-miR-20a-5p; hsa-miR-199a-5p; hsa-miR-766-3p; hsa-miR-30c-5p; hsa-miR-20b-5p; hsa-miR-200c-3p; hsa-miR-423-3p; hsa-miR-181c-5p; hsa-miR-524-5p; hsa-miR-143-3p; hsa-miR-518c-3p; hsa-miR-107; hsa-miR-486-3p; hsa-miR-141-3p; hsa-miR-17-5p; hsa-miR-199b-5p; hsa-miR-26a-5p; hsa-miR-149-5p; hsa-miR-582-5p; hsa-miR-195-5p; hsa-miR-548t-3p; hsa-let-7a-5p; hsa-miR-184; hsa-miR-423-5p; hsa-miR-15b-5p; hsa-miR-23b-3p; hsa-miR-205-5p; hsa-miR-296-3p; hsa-let-7e-5p; hsa-miR-17-3p; hsa-miR-331-3p; hsa-miR-361-5p; hsa-miR-128-3p; hsa-miR-548aa; hsa-miR-98-3p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-24-3p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-let-7b-5p; hsa-miR-889-3p; hsa-miR-30b-5p; hsa-miR-214-3p; hsa-miR-31-3p; hsa-miR-342-3p; hsa-miR-101-3p; hsa-miR-495-3p; hsa-miR-1296-5p; hsa-miR-494-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-381-3p; hsa-miR-218-5p; hsa-miR-493-3p; hsa-miR-34c-3p; hsa-miR-199a-3p; hsa-miR-31-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gene silencing	depleted	1.47276e-05	0.000842457223529412	0.000842457223529412	73	hsa-miR-196b-5p; hsa-miR-10b-5p; hsa-miR-100-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-155-5p; hsa-miR-193b-3p; hsa-miR-222-3p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-212-3p; hsa-miR-148a-3p; hsa-miR-877-3p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-153-3p; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-29b-1-5p; hsa-miR-615-3p; hsa-miR-421; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-505-3p; hsa-miR-324-5p; hsa-miR-133b; hsa-miR-186-5p; hsa-miR-15a-5p; hsa-miR-484; hsa-miR-18a-3p; hsa-miR-449a; hsa-let-7c-5p; hsa-miR-23a-3p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-92a-3p; hsa-miR-497-5p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-19b-3p; hsa-miR-301b-3p; hsa-miR-181a-5p; hsa-miR-27b-3p; hsa-miR-103a-3p; hsa-miR-132-3p; hsa-miR-20a-5p; hsa-miR-30c-5p; hsa-miR-423-3p; hsa-miR-107; hsa-miR-26a-5p; hsa-miR-149-5p; hsa-miR-195-5p; hsa-let-7a-5p; hsa-miR-15b-5p; hsa-let-7e-5p; hsa-miR-130a-3p; hsa-miR-744-5p; hsa-miR-34c-5p; hsa-let-7b-5p; hsa-miR-31-3p; hsa-miR-101-3p; hsa-miR-145-5p; hsa-miR-218-5p; hsa-miR-323a-3p	GO_BP	NA	FALSE	NA
GO Biological process (miRPathDB)	gene silencing by RNA	depleted	0.000134627	0.004063	0.004063	44	hsa-miR-96-5p; hsa-miR-125b-5p; hsa-miR-221-3p; hsa-miR-155-5p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-212-3p; hsa-miR-148a-3p; hsa-miR-1-3p; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-29b-1-5p; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-324-5p; hsa-miR-23a-3p; hsa-miR-34a-3p; hsa-miR-27a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-497-5p; hsa-miR-125a-5p; hsa-miR-19b-3p; hsa-miR-301b-3p; hsa-miR-27b-3p; hsa-miR-30c-5p; hsa-miR-423-3p; hsa-miR-107; hsa-miR-26a-5p; hsa-miR-149-5p; hsa-let-7a-5p; hsa-miR-184; hsa-miR-15b-5p; hsa-miR-130a-3p; hsa-miR-744-5p; hsa-let-7b-5p; hsa-miR-31-3p; hsa-miR-574-3p; hsa-miR-145-5p; hsa-miR-218-5p; hsa-miR-323a-3p	GO_BP	NA	FALSE	NA
GO Biological process (miRPathDB)	gene silencing by miRNA	depleted	0.000182109	0.0049971	0.0049971	44	hsa-miR-96-5p; hsa-miR-125b-5p; hsa-miR-301a-3p; hsa-miR-99a-5p; hsa-miR-152-3p; hsa-miR-34a-5p; hsa-miR-212-3p; hsa-miR-148a-3p; hsa-miR-1-3p; hsa-miR-130b-3p; hsa-miR-454-3p; hsa-miR-29b-1-5p; hsa-miR-615-3p; hsa-miR-19a-3p; hsa-miR-652-3p; hsa-miR-93-5p; hsa-miR-324-5p; hsa-miR-133b; hsa-miR-505-5p; hsa-miR-23a-3p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-16-5p; hsa-miR-200a-3p; hsa-miR-497-5p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-19b-3p; hsa-miR-301b-3p; hsa-miR-27b-3p; hsa-miR-423-3p; hsa-miR-107; hsa-miR-26a-5p; hsa-miR-195-5p; hsa-let-7a-5p; hsa-miR-15b-5p; hsa-miR-130a-3p; hsa-miR-744-5p; hsa-let-7b-5p; hsa-miR-31-3p; hsa-miR-574-3p; hsa-miR-145-5p; hsa-miR-218-5p; hsa-miR-323a-3p	GO_BP	NA	FALSE	NA
GO Biological process (miRPathDB)	generation of neurons	depleted	0.0598804	0.2123691	0.2123691	71	hsa-miR-96-5p; hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-223-3p; hsa-miR-4467; hsa-miR-128-1-5p; hsa-miR-135a-5p; hsa-miR-222-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-452-5p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-33b-5p; hsa-miR-148a-3p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-153-3p; hsa-miR-6836-5p; hsa-miR-4667-5p; hsa-miR-8089; hsa-miR-6132; hsa-miR-663a; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-30a-5p; hsa-miR-128-2-5p; hsa-miR-6825-5p; hsa-miR-519c-3p; hsa-miR-519a-3p; hsa-miR-519b-3p; hsa-miR-448; hsa-miR-451a; hsa-miR-765; hsa-miR-146a-5p; hsa-miR-29c-3p; hsa-miR-203a-3p; hsa-miR-1179; hsa-miR-204-5p; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-224-5p; hsa-miR-125a-5p; hsa-miR-181a-5p; hsa-miR-378a-3p; hsa-miR-132-3p; hsa-miR-1181; hsa-miR-148b-3p; hsa-miR-199a-5p; hsa-miR-30c-5p; hsa-miR-200c-3p; hsa-miR-205-5p; hsa-miR-128-3p; hsa-miR-130a-3p; hsa-miR-34c-5p; hsa-miR-214-3p; hsa-miR-101-3p; hsa-miR-495-3p; hsa-miR-127-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-376c-3p; hsa-miR-218-5p; hsa-miR-124-3p; hsa-miR-31-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	generation of precursor metabolites and energy	depleted	0.115083	0.2781071	0.2781071	20	hsa-miR-196b-5p; hsa-miR-100-5p; hsa-miR-125b-5p; hsa-miR-99a-5p; hsa-miR-34a-5p; hsa-miR-210-3p; hsa-miR-106b-3p; hsa-miR-615-3p; hsa-miR-425-3p; hsa-miR-339-3p; hsa-miR-324-5p; hsa-miR-23a-3p; hsa-miR-34a-3p; hsa-miR-92a-3p; hsa-miR-125a-5p; hsa-miR-184; hsa-miR-744-5p; hsa-let-7b-5p; hsa-miR-206; hsa-miR-199a-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gland development	depleted	0.001194	0.0197168	0.0197168	72	hsa-miR-196b-5p; hsa-miR-96-5p; hsa-miR-193a-3p; hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-488-5p; hsa-miR-223-3p; hsa-miR-708-5p; hsa-miR-155-5p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-148a-3p; hsa-miR-10a-3p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-29a-3p; hsa-miR-1-3p; hsa-miR-1321; hsa-miR-106b-3p; hsa-miR-6748-3p; hsa-miR-4739; hsa-miR-200a-5p; hsa-miR-503-5p; hsa-miR-138-5p; hsa-miR-144-3p; hsa-miR-19a-3p; hsa-miR-6875-5p; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-424-5p; hsa-miR-34a-3p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-18a-5p; hsa-miR-19b-3p; hsa-miR-181a-5p; hsa-miR-103a-3p; hsa-miR-18b-5p; hsa-miR-378a-3p; hsa-miR-140-5p; hsa-miR-320c; hsa-miR-1181; hsa-miR-199a-5p; hsa-miR-625-3p; hsa-miR-200c-3p; hsa-miR-143-3p; hsa-miR-26a-5p; hsa-miR-184; hsa-miR-205-5p; hsa-miR-128-3p; hsa-miR-130a-3p; hsa-miR-34c-5p; hsa-miR-101-3p; hsa-miR-127-3p; hsa-miR-494-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-376c-3p; hsa-miR-27a-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gland morphogenesis	depleted	0.196627	0.3556398	0.3556398	24	hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-488-5p; hsa-miR-135a-5p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-29a-3p; hsa-miR-1321; hsa-miR-4667-5p; hsa-miR-8089; hsa-miR-4739; hsa-miR-133b; hsa-miR-203a-3p; hsa-miR-200a-3p; hsa-miR-140-5p; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-130a-3p; hsa-miR-127-3p; hsa-miR-574-3p; hsa-miR-206; hsa-miR-145-5p; hsa-miR-124-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glial cell development	enriched	0.25908	0.3998715	0.3998715	21	hsa-miR-5701; hsa-miR-21-5p; hsa-miR-128-1-5p; hsa-miR-155-5p; hsa-miR-152-3p; hsa-miR-22-3p; hsa-miR-452-5p; hsa-miR-212-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-128-2-5p; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-200a-3p; hsa-miR-378a-3p; hsa-miR-205-5p; hsa-miR-574-3p; hsa-miR-145-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glial cell differentiation	depleted	0.159305	0.3219204	0.3219204	36	hsa-miR-21-5p; hsa-miR-125b-5p; hsa-miR-223-3p; hsa-miR-128-1-5p; hsa-miR-301a-5p; hsa-miR-155-5p; hsa-miR-22-3p; hsa-miR-34a-5p; hsa-miR-3617-5p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-29a-3p; hsa-miR-663a; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-128-2-5p; hsa-miR-641; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-378a-3p; hsa-miR-140-5p; hsa-miR-1181; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-205-5p; hsa-miR-34c-5p; hsa-miR-494-3p; hsa-miR-145-5p; hsa-miR-218-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glial cell proliferation	depleted	0.0258293	0.1380086	0.1380086	18	hsa-miR-221-3p; hsa-miR-155-5p; hsa-miR-222-3p; hsa-miR-200b-3p; hsa-miR-34a-5p; hsa-miR-9-5p; hsa-miR-363-3p; hsa-miR-203a-3p; hsa-miR-204-5p; hsa-miR-200a-3p; hsa-miR-376a-5p; hsa-miR-200c-3p; hsa-miR-107; hsa-miR-205-5p; hsa-miR-130a-3p; hsa-miR-34b-5p; hsa-miR-34c-5p; hsa-miR-101-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	gliogenesis	depleted	0.0287499	0.1462052	0.1462052	44	hsa-miR-193a-3p; hsa-miR-21-5p; hsa-miR-223-3p; hsa-miR-128-1-5p; hsa-miR-301a-5p; hsa-miR-155-5p; hsa-miR-200b-3p; hsa-miR-22-3p; hsa-miR-429; hsa-miR-34a-5p; hsa-miR-185-5p; hsa-miR-3617-5p; hsa-miR-9-3p; hsa-miR-29b-3p; hsa-miR-9-5p; hsa-miR-1471; hsa-miR-29a-3p; hsa-miR-130b-3p; hsa-miR-138-5p; hsa-miR-641; hsa-miR-451a; hsa-miR-133b; hsa-miR-146a-5p; hsa-miR-203a-3p; hsa-miR-204-5p; hsa-miR-326; hsa-miR-126-3p; hsa-miR-133a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-376a-5p; hsa-miR-378a-3p; hsa-miR-140-5p; hsa-miR-1181; hsa-miR-199a-5p; hsa-miR-200c-3p; hsa-miR-107; hsa-miR-205-5p; hsa-miR-130a-3p; hsa-miR-34c-5p; hsa-miR-101-3p; hsa-miR-494-3p; hsa-miR-206; hsa-miR-145-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glomerulus development	enriched	0.166812	0.328667	0.328667	12	hsa-miR-21-5p; hsa-miR-200b-5p; hsa-miR-215-5p; hsa-miR-135a-5p; hsa-miR-34a-5p; hsa-miR-29b-3p; hsa-miR-29a-3p; hsa-miR-451a; hsa-miR-126-3p; hsa-miR-200c-3p; hsa-miR-184; hsa-miR-34c-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glucose catabolic process	depleted	0.225869	0.3815142	0.3815142	13	hsa-miR-96-5p; hsa-miR-3177-3p; hsa-miR-125b-5p; hsa-miR-615-3p; hsa-miR-19a-3p; hsa-miR-1233-5p; hsa-miR-324-5p; hsa-miR-18a-3p; hsa-miR-125a-5p; hsa-miR-518c-3p; hsa-miR-17-5p; hsa-miR-423-5p; hsa-miR-331-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glucose homeostasis	depleted	0.1106	0.2763263	0.2763263	12	hsa-miR-223-3p; hsa-miR-22-3p; hsa-miR-365a-3p; hsa-miR-138-5p; hsa-miR-33a-5p; hsa-miR-425-3p; hsa-miR-203a-3p; hsa-miR-23a-3p; hsa-miR-126-3p; hsa-miR-625-3p; hsa-miR-200c-3p; hsa-miR-576-5p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glucose import	depleted	0.0764216	0.2351765	0.2351765	10	hsa-miR-29a-3p; hsa-miR-138-5p; hsa-miR-19a-3p; hsa-miR-451a; hsa-miR-23a-3p; hsa-miR-126-3p; hsa-miR-125a-5p; hsa-miR-143-3p; hsa-miR-184; hsa-miR-105-5p	GO_BP	NA	FALSE	NA
GO Biological process (miRPathDB)	glucose metabolic process	depleted	0.0695123	0.224028	0.224028	23	hsa-let-7f-2-3p; hsa-miR-3177-3p; hsa-miR-1185-2-3p; hsa-miR-125b-5p; hsa-miR-22-3p; hsa-miR-1185-1-3p; hsa-miR-429; hsa-miR-9-3p; hsa-miR-19a-3p; hsa-miR-425-3p; hsa-miR-339-3p; hsa-miR-203a-3p; hsa-miR-187-3p; hsa-miR-126-3p; hsa-miR-27a-3p; hsa-miR-125a-5p; hsa-miR-30c-5p; hsa-miR-200c-3p; hsa-miR-518c-3p; hsa-miR-17-5p; hsa-miR-184; hsa-miR-206; hsa-miR-199a-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glycerolipid metabolic process	depleted	0.0458724	0.1846712	0.1846712	15	hsa-miR-21-5p; hsa-miR-155-5p; hsa-miR-152-3p; hsa-miR-22-3p; hsa-miR-19a-3p; hsa-miR-451a; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-132-3p; hsa-miR-148b-3p; hsa-miR-199a-5p; hsa-miR-23b-3p; hsa-miR-205-5p; hsa-miR-130a-3p; hsa-miR-101-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glycerophospholipid metabolic process	depleted	0.148496	0.3143776	0.3143776	15	hsa-miR-21-5p; hsa-miR-155-5p; hsa-miR-135a-5p; hsa-miR-152-3p; hsa-miR-29b-3p; hsa-miR-19a-3p; hsa-miR-451a; hsa-miR-203a-3p; hsa-miR-126-3p; hsa-miR-19b-3p; hsa-miR-199a-5p; hsa-miR-23b-3p; hsa-miR-205-5p; hsa-miR-130a-3p; hsa-miR-101-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
GO Biological process (miRPathDB)	glycolytic process	depleted	0.0303331	0.1511818	0.1511818	21	hsa-miR-96-5p; hsa-miR-3177-3p; hsa-miR-125b-5p; hsa-miR-22-3p; hsa-miR-34a-5p; hsa-miR-106b-3p; hsa-miR-615-3p; hsa-miR-1233-5p; hsa-miR-93-5p; hsa-miR-324-5p; hsa-miR-18a-3p; hsa-miR-23a-3p; hsa-miR-34a-3p; hsa-miR-27a-3p; hsa-miR-200a-3p; hsa-miR-125a-5p; hsa-miR-423-3p; hsa-miR-518c-3p; hsa-miR-141-3p; hsa-let-7b-5p; hsa-miR-199a-3p	GO_BP	NA	FALSE	rrvgo_Rel_t0.90
